iter	Passed	Remaining
1261	28198	83524
1262	28220	83500
1263	28242	83476
1264	28264	83453
1265	28286	83430
1266	28307	83404
1267	28329	83380
1268	28350	83353
1269	28372	83329
1270	28392	83302
1271	28413	83274
1272	28434	83247
1273	28455	83222
1274	28478	83201
1275	28500	83179
1276	28522	83156
1277	28545	83135
1278	28569	83116
1279	28607	83141
1280	28653	83187
1281	28682	83183
1282	28705	83162
1283	28730	83149
1284	28753	83128
1285	28778	83111
1286	28802	83094
1287	28822	83066
1288	28844	83043
1289	28866	83019
1290	28888	82995
1291	28910	82971
1292	28931	82945
1293	28953	82921
1294	28973	82894
1295	28994	82866
1296	29015	82840
1297	29036	82814
1298	29057	82787
1299	29078	82761
1300	29098	82731
1301	29119	82705
1302	29140	82678
1303	29161	82654
1304	29223	82742
1305	29246	82723
1306	29269	82701
1307	29291	82679
1308	29313	82654
1309	29340	82645
1310	29361	82619
1311	29382	82593
1312	29403	82567
1313	29424	82539
1314	29445	82515
1315	29466	82487
1316	29486	82459
1317	29511	82443
1318	29534	82424
1319	29560	82410
1320	29583	82390
1321	29604	82364
1322	29625	82337
1323	29646	82311
1324	29670	82294
1325	29693	82272
1326	29716	82251
1327	29740	82233
1328	29763	82213
1329	29785	82190
1330	29807	82165
1331	29827	82138
1332	29848	82111
1333	29869	82086
1334	29894	82068
1335	29915	82044
1336	29939	82026
1337	29961	82001
1338	29983	81978
1339	30006	81957
1340	30029	81936
1341	30050	81911
1342	30071	81886
1343	30093	81861
1344	30114	81834
1345	30138	81815
1346	30171	81824
1347	30207	81838
1348	30256	81887
1349	30287	81887
1350	30308	81863
1351	30331	81841
1352	30352	81814
1353	30374	81791
1354	30396	81767
1355	30418	81743
1356	30439	81718
1357	30462	81695
1358	30482	81669
1359	30505	81646
1360	30527	81624
1361	30552	81607
1362	30573	81581
1363	30595	81556
1364	30616	81530
1365	30636	81501
1366	30658	81478
1367	30679	81454
1368	30701	81428
1369	30722	81403
1370	30745	81383
1371	30767	81357
1372	30788	81332
1373	30810	81309
1374	30831	81282
1375	30852	81255
1376	30873	81231
1377	30894	81205
1378	30916	81181
1379	30938	81157
1380	30959	81130
1381	30979	81102
1382	31000	81077
1383	31023	81054
1384	31044	81030
1385	31067	81008
1386	31088	80982
1387	31109	80957
1388	31130	80930
1389	31153	80909
1390	31177	80891
1391	31199	80866
1392	31220	80840
1393	31253	80846
1394	31277	80827
1395	31299	80804
1396	31321	80781
1397	31342	80755
1398	31363	80728
1399	31383	80701
1400	31406	80679
1401	31427	80652
1402	31448	80628
1403	31470	80603
1404	31493	80583
1405	31515	80559
1406	31548	80563
1407	31571	80544
1408	31592	80517
1409	31612	80489
1410	31634	80466
1411	31657	80443
1412	31682	80428
1413	31703	80403
1414	31725	80377
1415	31747	80355
1416	31770	80334
1417	31793	80312
1418	31814	80287
1419	31837	80266
1420	31859	80242
1421	31879	80215
1422	31900	80188
1423	31921	80163
1424	31942	80137
1425	31963	80111
1426	31985	80087
1427	32009	80068
1428	32031	80046
1429	32054	80023
1430	32075	79998
1431	32095	79970
1432	32116	79944
1433	32137	79918
1434	32157	79890
1435	32182	79873
1436	32205	79852
1437	32226	79826
1438	32248	79802
1439	32279	79802
1440	32300	79775
1441	32321	79751
1442	32342	79724
1443	32363	79697
1444	32384	79671
1445	32404	79644
1446	32425	79618
1447	32448	79598
1448	32470	79573
1449	32492	79550
1450	32514	79527
1451	32536	79504
1452	32558	79479
1453	32579	79454
1454	32601	79430
1455	32623	79406
1456	32644	79381
1457	32669	79366
1458	32692	79345
1459	32715	79322
1460	32741	79309
1461	32766	79294
1462	32789	79273
1463	32811	79250
1464	32834	79227
1465	32856	79204
1466	32876	79177
1467	32898	79153
1468	32918	79126
1469	32944	79112
1470	32968	79093
1471	32990	79070
1472	33012	79046
1473	33034	79022
1474	33055	78997
1475	33077	78972
1476	33098	78946
1477	33119	78921
1478	33139	78894
1479	33160	78867
1480	33182	78844
1481	33203	78818
1482	33225	78795
1483	33246	78770
1484	33279	78772
1485	33300	78746
1486	33321	78721
1487	33341	78693
1488	33363	78668
1489	33384	78643
1490	33406	78619
1491	33426	78592
1492	33447	78567
1493	33467	78539
1494	33490	78518
1495	33513	78497
1496	33535	78474
1497	33559	78455
1498	33587	78445
1499	33610	78425
1500	33632	78401
1501	33654	78377
1502	33677	78355
1503	33698	78331
1504	33720	78306
1505	33744	78288
1506	33766	78266
1507	33788	78242
1508	33810	78219
1509	33831	78194
1510	33854	78171
1511	33876	78148
1512	33897	78124
1513	33919	78099
1514	33940	78074
1515	33962	78050
1516	33984	78027
1517	34006	78004
1518	34029	77983
1519	34051	77960
1520	34072	77935
1521	34094	77910
1522	34115	77885
1523	34136	77860
1524	34158	77835
1525	34182	77818
1526	34205	77796
1527	34227	77774
1528	34256	77765
1529	34279	77744
1530	34313	77748
1531	34335	77725
1532	34356	77700
1533	34378	77676
1534	34399	77651
1535	34420	77625
1536	34441	77599
1537	34463	77575
1538	34486	77555
1539	34508	77531
1540	34528	77505
1541	34549	77478
1542	34570	77453
1543	34591	77428
1544	34612	77402
1545	34633	77375
1546	34656	77356
1547	34682	77342
1548	34705	77320
1549	34729	77301
1550	34753	77282
1551	34775	77259
1552	34796	77232
1553	34816	77206
1554	34837	77180
1555	34859	77156
1556	34880	77130
1557	34900	77104
1558	34922	77080
1559	34943	77054
1560	34973	77048
1561	34996	77029
1562	35019	77006
1563	35039	76980
1564	35063	76960
1565	35084	76935
1566	35105	76909
1567	35127	76886
1568	35149	76862
1569	35171	76840
1570	35195	76820
1571	35216	76796
1572	35239	76774
1573	35260	76749
1574	35281	76723
1575	35316	76727
1576	35340	76708
1577	35364	76691
1578	35386	76668
1579	35409	76645
1580	35430	76621
1581	35452	76596
1582	35474	76574
1583	35500	76558
1584	35541	76577
1585	35580	76589
1586	35609	76582
1587	35635	76566
1588	35656	76540
1589	35680	76522
1590	35705	76505
1591	35728	76483
1592	35750	76461
1593	35776	76446
1594	35798	76421
1595	35820	76398
1596	35842	76374
1597	35863	76349
1598	35884	76325
1599	35907	76302
